date,id,prec,tair,tw,tmax,tmin,urmax,patm,pnmm,wd,wsmax,n,cc,evap,ur,ws,request_status
2019-02-02T00:00:00Z,83781,-9999,26.6,23,35.9,-9999,73,925.4,1012.5,18,2,-9999,0,8.8,60.75,1.833333,Success: (200) OK
2019-02-02T12:00:00Z,83781,0,27,22.1,-9999,22.5,62,926.2,1013.6,36,2.3,-9999,2,-9999,-9999,-9999,Success: (200) OK
2019-02-02T18:00:00Z,83781,-9999,34.3,22.6,-9999,-9999,35,923,1009.5,9,1.6,-9999,7,-9999,-9999,-9999,Success: (200) OK
2019-02-03T00:00:00Z,83781,-9999,27.4,23.7,31.4,-9999,73,924.6,1011.8,9,1.6,-9999,2,8.2,73,2.633333,Success: (200) OK
2019-02-03T12:00:00Z,83781,0,26,22.4,-9999,22.8,73,926,1013.3,14,2.3,-9999,9,-9999,-9999,-9999,Success: (200) OK
2019-02-03T18:00:00Z,83781,-9999,29.4,23.9,-9999,-9999,61,924.3,1013.1,18,2.3,-9999,8,-9999,-9999,-9999,Success: (200) OK
2019-02-04T00:00:00Z,83781,-9999,23.9,21.2,24,-9999,79,925.4,1013,23,3.3,-9999,10,4.6,83,3.266667,Success: (200) OK
2019-02-04T12:00:00Z,83781,57,20.6,19.8,-9999,17.6,93,927.2,1015.8,14,2.3,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-04T18:00:00Z,83781,-9999,21.2,18.7,-9999,-9999,79,921.2,1009.2,14,5,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-05T00:00:00Z,83781,-9999,18.2,16.1,25.3,-9999,80,927.8,1016.8,14,2.5,-9999,10,1.9,80,3.166667,Success: (200) OK
2019-02-05T12:00:00Z,83781,3.8,20.2,18,-9999,17.1,80,927,1016,18,1.6,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-05T18:00:00Z,83781,-9999,23.1,20.1,-9999,-9999,76,925.4,1013.9,14,4.6,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-06T00:00:00Z,83781,-9999,19.4,17.4,19.5,-9999,82,926.3,1015,9,3.3,-9999,10,3.5,87.75,2,Success: (200) OK
2019-02-06T12:00:00Z,83781,9,17.2,16.7,-9999,17,94,924.8,1013.6,14,2.8,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-06T18:00:00Z,83781,-9999,18.2,17.5,-9999,-9999,93,924.8,1013.4,5,1.6,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-07T00:00:00Z,83781,-9999,19.5,17.5,27.7,-9999,82,924.7,1013.6,5,1.6,-9999,10,2.5,74.25,2.3,Success: (200) OK
2019-02-07T12:00:00Z,83781,41.2,19.7,17.6,-9999,17.1,81,924.3,1012.9,18,1.6,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-02-07T18:00:00Z,83781,-9999,27,20.3,-9999,-9999,54,922,1009.6,27,2.3,-9999,8,-9999,-9999,-9999,Success: (200) OK
